"cr_author,","cr_id,","cr_title,","cr_date,","cr_desc"
"Mara Murazik",63342,"CR-63342: Fixed bug in code that was breaking things","2015-05-15 05:50:40","This PR did some stuff and added integration tests to make sure it works properly"
"Ferris Okuneva",3406,"CR-3406: Fixed bug in code that was breaking things","2015-05-17 14:46:55","This PR did some stuff and added integration tests to make sure it works properly"
"Jacki Grady",9350,"CR-9350: Fixed bug in code that was breaking things","2015-05-09 22:43:54","This PR did some stuff and added integration tests to make sure it works properly"
"Florida Grimes",66369,"CR-66369: Fixed bug in code that was breaking things","2015-06-03 14:41:38","This PR did some stuff and added integration tests to make sure it works properly"
"Mrs. Debora Casper MD",44467,"CR-44467: Fixed bug in code that was breaking things","2015-04-11 12:26:07","This PR did some stuff and added integration tests to make sure it works properly"
"Florida Grimes",96872,"CR-96872: Fixed bug in code that was breaking things","2015-05-19 16:26:30","This PR did some stuff and added integration tests to make sure it works properly"
"Ferris Okuneva",33224,"CR-33224: Fixed bug in code that was breaking things","2015-05-08 17:26:25","This PR did some stuff and added integration tests to make sure it works properly"
"Mara Murazik",80596,"CR-80596: Fixed bug in code that was breaking things","2015-04-26 10:22:07","This PR did some stuff and added integration tests to make sure it works properly"
"Jasmyn Ritchie PhD",15664,"CR-15664: Fixed bug in code that was breaking things","2015-05-16 16:50:01","This PR did some stuff and added integration tests to make sure it works properly"
"Florida Grimes",86473,"CR-86473: Fixed bug in code that was breaking things","2015-05-23 04:57:37","This PR did some stuff and added integration tests to make sure it works properly"
"Dr. Albert Parisian PhD",6100,"CR-6100: Fixed bug in code that was breaking things","2015-04-17 07:37:21","This PR did some stuff and added integration tests to make sure it works properly"
"Mara Murazik",63948,"CR-63948: Fixed bug in code that was breaking things","2015-04-13 11:37:34","This PR did some stuff and added integration tests to make sure it works properly"
"Valeria Gusikowski DDS",44305,"CR-44305: Fixed bug in code that was breaking things","2015-05-12 09:24:46","This PR did some stuff and added integration tests to make sure it works properly"
"Florida Grimes",68522,"CR-68522: Fixed bug in code that was breaking things","2015-04-25 06:45:52","This PR did some stuff and added integration tests to make sure it works properly"
"Verda Paucek MD",716,"CR-716: Fixed bug in code that was breaking things","2015-05-13 21:53:00","This PR did some stuff and added integration tests to make sure it works properly"
"Jacki Grady",55447,"CR-55447: Fixed bug in code that was breaking things","2015-05-31 01:25:55","This PR did some stuff and added integration tests to make sure it works properly"
"Mara Murazik",85576,"CR-85576: Fixed bug in code that was breaking things","2015-06-28 11:29:42","This PR did some stuff and added integration tests to make sure it works properly"
"Mrs. Debora Casper MD",56271,"CR-56271: Fixed bug in code that was breaking things","2015-04-10 09:30:43","This PR did some stuff and added integration tests to make sure it works properly"
"Ken Kunze",69171,"CR-69171: Fixed bug in code that was breaking things","2015-05-08 00:57:39","This PR did some stuff and added integration tests to make sure it works properly"
"Mara Murazik",88262,"CR-88262: Fixed bug in code that was breaking things","2015-05-21 23:53:24","This PR did some stuff and added integration tests to make sure it works properly"
"Mara Murazik",74103,"CR-74103: Fixed bug in code that was breaking things","2015-07-08 05:23:32","This PR did some stuff and added integration tests to make sure it works properly"
"Katharyn DuBuque DDS",83538,"CR-83538: Fixed bug in code that was breaking things","2015-04-06 23:13:56","This PR did some stuff and added integration tests to make sure it works properly"
"Valeria Gusikowski DDS",89622,"CR-89622: Fixed bug in code that was breaking things","2015-04-01 18:42:30","This PR did some stuff and added integration tests to make sure it works properly"
"Ferris Okuneva",21055,"CR-21055: Fixed bug in code that was breaking things","2015-07-03 20:57:48","This PR did some stuff and added integration tests to make sure it works properly"
"Dr. Albert Parisian PhD",986,"CR-986: Fixed bug in code that was breaking things","2015-05-18 15:06:13","This PR did some stuff and added integration tests to make sure it works properly"
"Jasmyn Ritchie PhD",99884,"CR-99884: Fixed bug in code that was breaking things","2015-04-21 13:26:06","This PR did some stuff and added integration tests to make sure it works properly"
