cr_author,cr_id,cr_title,cr_date,cr_desc
"Alba Johns",17475,"CR-17475: Fixed bug in code that was breaking things","2015-06-24 05:50:19","This PR did some stuff and added integration tests to make sure it works properly"
"Hassan Conroy",47982,"CR-47982: Fixed bug in code that was breaking things","2015-05-18 04:57:25","This PR did some stuff and added integration tests to make sure it works properly"
"Zhane Von",67559,"CR-67559: Fixed bug in code that was breaking things","2015-05-27 23:10:01","This PR did some stuff and added integration tests to make sure it works properly"
"Haylee Bauch",93827,"CR-93827: Fixed bug in code that was breaking things","2015-05-28 05:18:48","This PR did some stuff and added integration tests to make sure it works properly"
"Hassan Conroy",22531,"CR-22531: Fixed bug in code that was breaking things","2015-07-11 00:06:38","This PR did some stuff and added integration tests to make sure it works properly"
"Adison O'Hara",42531,"CR-42531: Fixed bug in code that was breaking things","2015-07-11 03:21:23","This PR did some stuff and added integration tests to make sure it works properly"
"Art Conn",32690,"CR-32690: Fixed bug in code that was breaking things","2015-04-27 21:13:40","This PR did some stuff and added integration tests to make sure it works properly"
"Amani Waelchi",87786,"CR-87786: Fixed bug in code that was breaking things","2015-05-11 10:57:44","This PR did some stuff and added integration tests to make sure it works properly"
"Hassan Conroy",99374,"CR-99374: Fixed bug in code that was breaking things","2015-04-19 16:03:44","This PR did some stuff and added integration tests to make sure it works properly"
"Alonza Gibson",87718,"CR-87718: Fixed bug in code that was breaking things","2015-04-16 17:45:37","This PR did some stuff and added integration tests to make sure it works properly"
"Art Conn",12617,"CR-12617: Fixed bug in code that was breaking things","2015-06-16 16:47:11","This PR did some stuff and added integration tests to make sure it works properly"
"Haylee Bauch",85244,"CR-85244: Fixed bug in code that was breaking things","2015-05-26 17:28:17","This PR did some stuff and added integration tests to make sure it works properly"
"Dr. Elinor Vandervort DDS",38139,"CR-38139: Fixed bug in code that was breaking things","2015-04-19 20:54:30","This PR did some stuff and added integration tests to make sure it works properly"
"Alonza Gibson",18930,"CR-18930: Fixed bug in code that was breaking things","2015-05-31 00:28:12","This PR did some stuff and added integration tests to make sure it works properly"
"Alba Johns",50303,"CR-50303: Fixed bug in code that was breaking things","2015-06-16 13:52:57","This PR did some stuff and added integration tests to make sure it works properly"
"Art Conn",97983,"CR-97983: Fixed bug in code that was breaking things","2015-05-14 09:25:33","This PR did some stuff and added integration tests to make sure it works properly"
"Adison O'Hara",79432,"CR-79432: Fixed bug in code that was breaking things","2015-06-24 01:51:33","This PR did some stuff and added integration tests to make sure it works properly"
"Haylee Bauch",28440,"CR-28440: Fixed bug in code that was breaking things","2015-04-25 21:52:21","This PR did some stuff and added integration tests to make sure it works properly"
"Frida Botsford",25446,"CR-25446: Fixed bug in code that was breaking things","2015-07-05 00:37:16","This PR did some stuff and added integration tests to make sure it works properly"
"Alonza Gibson",71501,"CR-71501: Fixed bug in code that was breaking things","2015-05-25 23:49:09","This PR did some stuff and added integration tests to make sure it works properly"
"Jaheim Torphy",62510,"CR-62510: Fixed bug in code that was breaking things","2015-07-10 00:05:41","This PR did some stuff and added integration tests to make sure it works properly"
"Hassan Conroy",97452,"CR-97452: Fixed bug in code that was breaking things","2015-05-20 15:21:52","This PR did some stuff and added integration tests to make sure it works properly"
"Kelsea Quitzon",44412,"CR-44412: Fixed bug in code that was breaking things","2015-06-10 21:28:50","This PR did some stuff and added integration tests to make sure it works properly"
"Zhane Von",3946,"CR-3946: Fixed bug in code that was breaking things","2015-06-07 17:43:55","This PR did some stuff and added integration tests to make sure it works properly"
"Adison O'Hara",49121,"CR-49121: Fixed bug in code that was breaking things","2015-05-12 17:41:03","This PR did some stuff and added integration tests to make sure it works properly"
"Kelsea Quitzon",95428,"CR-95428: Fixed bug in code that was breaking things","2015-06-05 22:51:16","This PR did some stuff and added integration tests to make sure it works properly"
"Dr. Elinor Vandervort DDS",38342,"CR-38342: Fixed bug in code that was breaking things","2015-05-24 01:42:42","This PR did some stuff and added integration tests to make sure it works properly"
"Haylee Bauch",95083,"CR-95083: Fixed bug in code that was breaking things","2015-07-03 21:56:25","This PR did some stuff and added integration tests to make sure it works properly"
